Disaster,Best Model,Accuracy,Precision (Harm),Recall (Harm),F1-Score (Harm)
Earthquake,CatBoost,0.94,0.9263157894736842,0.946236559139785,0.9361702127659575
Flood,Logistic Regression,0.975,1.0,0.9479166666666666,0.9732620320855615
Cyclone,Logistic Regression,0.99,0.9787234042553191,1.0,0.989247311827957
Wildfire,Logistic Regression,0.965,0.98,0.9514563106796117,0.9655172413793104
Tsunami,Logistic Regression,0.995,1.0,0.9895833333333334,0.9947643979057592
Heatwave,Logistic Regression,0.965,0.9611650485436893,0.9705882352941176,0.9658536585365853
